Code,Indicator Name,Long definition,Source
WP14887_7.8,"Account at a financial institution, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_01.9,"Account at a financial institution, income, richest 60% (% ages 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see year-specific definitions for details) (income, richest 60%, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11623_4.9,"Account at a financial institution, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14887_7.9,"Account at a financial institution, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_01.2,"Account at a financial institution, male (% age 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see year-specific definitions for details) (male, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11623_4.2,"Account at a financial institution, male (% age 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (male, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14887_7.2,"Account at a financial institution, male (% age 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_01.5,"Account at a financial institution, older adults (% ages 25+) [ts]",Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see year-specific definitions for details) (% age 25+). [ts: data are available for multiple waves].,"Demirguc-Kunt et al., 2015"
WP11623_4.5,"Account at a financial institution, older adults (% ages 25+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (% age 25+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14887_7.5,"Account at a financial institution, older adults (% ages 25+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (% age 25+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_01.6,"Account at a financial institution, primary education or less (% ages 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see year-specific definitions for details) (primary education or less, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11623_4.6,"Account at a financial institution, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (primary education or less, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14887_7.6,"Account at a financial institution, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP11623_4.10,"Account at a financial institution, rural (% age 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (rural, % age 15+ ). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14887_7.10,"Account at a financial institution, rural (% age 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_01.7,"Account at a financial institution, secondary education or more (% ages 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see year-specific definitions for details) (secondary education or more, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11623_4.7,"Account at a financial institution, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (secondary education or more, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14887_7.7,"Account at a financial institution, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_01.4,"Account at a financial institution, young adults (% ages 15-24) [ts]",Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution (see year-specific definitions for details) (% ages 15-24). [ts: data are available for multiple waves].,"Demirguc-Kunt et al., 2015"
WP11623_4.4,"Account at a financial institution, young adults (% ages 15-24) [w1]","Denotes the percentage of respondents with an account (self or together with someone else) at a bank, credit union, another financial institution (e.g., cooperative, microfinance institution), or the post office (if applicable) including respondents who reported having a debit card (% ages 15-24). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14887_7.4,"Account at a financial institution, young adults (% ages 15-24) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; or receiving wages or government transfers into a card in the past 12 months (% ages 15-24). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_10.3,"Account, female (% age 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else). For 2011, this can be an account at a bank or another type of financial institution, and for 2014 this can be a mobile account as well (see year-specific definitions for details) (female, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP14887_a.3,"Account, female (% age 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_10.8,"Account, income, poorest 40% (% ages 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else). For 2011, this can be an account at a bank or another type of financial institution, and for 2014 this can be a mobile account as well (see year-specific definitions for details) (income, poorest 40%, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP14887_a.8,"Account, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_10.9,"Account, income, richest 60% (% ages 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else). For 2011, this can be an account at a bank or another type of financial institution, and for 2014 this can be a mobile account as well (see year-specific definitions for details) (income, richest 60%, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP14887_a.9,"Account, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_10.2,"Account, male (% age 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else). For 2011, this can be an account at a bank or another type of financial institution, and for 2014 this can be a mobile account as well (see year-specific definitions for details) (male, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP14887_a.2,"Account, male (% age 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_10.5,"Account, older adults (% ages 25+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else). For 2011, this can be an account at a bank or another type of financial institution, and for 2014 this can be a mobile account as well (see year-specific definitions for details) (% age 25+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP14887_a.5,"Account, older adults (% ages 25+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (% age 25+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_10.6,"Account, primary education or less (% ages 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else). For 2011, this can be an account at a bank or another type of financial institution, and for 2014 this can be a mobile account as well (see year-specific definitions for details) (primary education or less, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP14887_a.6,"Account, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14887_a.10,"Account, rural (% age 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_10.7,"Account, secondary education or more (% ages 15+) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else). For 2011, this can be an account at a bank or another type of financial institution, and for 2014 this can be a mobile account as well (see year-specific definitions for details) (secondary education or more, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP14887_a.7,"Account, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_10.4,"Account, young adults (% ages 15-24) [ts]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else). For 2011, this can be an account at a bank or another type of financial institution, and for 2014 this can be a mobile account as well (see year-specific definitions for details) (% ages 15-24). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP14887_a.4,"Account, young adults (% ages 15-24) [w2]","Denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution; having a debit card in their own name; receiving wages, government transfers, or payments for agricultural products into an account at a financial institution or through a mobile phone in the past 12 months; paying utility bills or school fees from an account at a financial institution in the past 12 months; receiving wages or government transfers into a card in the past 12 months; or personally using a mobile phone to pay bills or to send or receive money through a GSM Association (GSMA) Mobile Money for the Unbanked (MMU) service in the past 12 months (% ages 15-24). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
FB.ATM.TOTL.P5,"Automated teller machines (ATMs) (per 100,000 adults)",Automated teller machines are computerized telecommunications devices that provide clients of a financial institution with access to financial transactions in a public place.,"International Monetary Fund, Financial Access Survey."
WP14924_8.1,Borrowed any money in the past year (% age 15+) [w2],Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14924_8.3,"Borrowed any money in the past year, female (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14924_8.8,"Borrowed any money in the past year, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14924_8.9,"Borrowed any money in the past year, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14924_8.2,"Borrowed any money in the past year, male (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14924_8.5,"Borrowed any money in the past year, older adults (% ages 25+) [w2]",Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (% age 25+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14924_8.6,"Borrowed any money in the past year, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14924_8.10,"Borrowed any money in the past year, rural (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14924_8.7,"Borrowed any money in the past year, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14924_8.4,"Borrowed any money in the past year, young adults (% ages 15-24) [w2]",Denotes the percentage of respondents who report borrowing any money (by themselves or together with someone else) for any reason and from any source in the past 12 months (% ages 15-24). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14921.1,Borrowed for education or school fees (% age 15+) [w2],Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for education or school fees (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14921.3,"Borrowed for education or school fees, female (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for education or school fees (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14921.8,"Borrowed for education or school fees, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for education or school fees (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14921.9,"Borrowed for education or school fees, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for education or school fees (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14921.2,"Borrowed for education or school fees, male (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for education or school fees (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14921.5,"Borrowed for education or school fees, older adults (% ages 25+) [w2]",Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for education or school fees (% age 25+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14921.6,"Borrowed for education or school fees, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for education or school fees (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14921.10,"Borrowed for education or school fees, rural (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for education or school fees (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14921.7,"Borrowed for education or school fees, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for education or school fees (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14921.4,"Borrowed for education or school fees, young adults (% ages 15-24) [w2]",Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for education or school fees (% ages 15-24). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14922.1,Borrowed for health or medical purposes (% age 15+) [w2],Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for health or medical purposes (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14922.3,"Borrowed for health or medical purposes, female (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for health or medical purposes (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14922.8,"Borrowed for health or medical purposes, income, poorest 40% (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for health or medical purposes (income, poorest 40%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14922.9,"Borrowed for health or medical purposes, income, richest 60% (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for health or medical purposes (income, richest 60%, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14922.2,"Borrowed for health or medical purposes, male (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for health or medical purposes (male, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14922.5,"Borrowed for health or medical purposes, older adults (% ages 25+) [w2]",Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for health or medical purposes (% age 25+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP14922.6,"Borrowed for health or medical purposes, primary education or less (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for health or medical purposes (primary education or less, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14922.10,"Borrowed for health or medical purposes, rural (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for health or medical purposes (rural, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14922.7,"Borrowed for health or medical purposes, secondary education or more (% ages 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for health or medical purposes (secondary education or more, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP14922.4,"Borrowed for health or medical purposes, young adults (% ages 15-24) [w2]",Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) for health or medical purposes (% ages 15-24). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP_time_06.1,Borrowed from a financial institution (% age 15+) [ts],Denotes the percentage of respondents who report borrowing any money from a bank or another type of financial institution in the past 12 months (see year-specific definitions for details) (% age 15+). [ts: data are available for multiple waves].,"Demirguc-Kunt et al., 2015"
WP11651.1,Borrowed from a financial institution (% age 15+) [w1],"Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (% age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14917.1,Borrowed from a financial institution (% age 15+) [w2],Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) from a bank or another type of financial institution. This does not include the use of credit cards (% age 15+). [w2: data are available for wave 2].,"Demirguc-Kunt et al., 2015"
WP_time_06.3,"Borrowed from a financial institution, female (% age 15+) [ts]","Denotes the percentage of respondents who report borrowing any money from a bank or another type of financial institution in the past 12 months (see year-specific definitions for details) (female, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
WP11651.3,"Borrowed from a financial institution, female (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a bank, credit union, microfinance institution, or another financial institution such as a cooperative in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Demirguc-Kunt and Klapper, 2012"
WP14917.3,"Borrowed from a financial institution, female (% age 15+) [w2]","Denotes the percentage of respondents who report borrowing any money in the past 12 months (by themselves or together with someone else) from a bank or another type of financial institution. This does not include the use of credit cards (female, % age 15+). [w2: data are available for wave 2].","Demirguc-Kunt et al., 2015"
WP_time_06.8,"Borrowed from a financial institution, income, poorest 40% (% ages 15+) [ts]","Denotes the percentage of respondents who report borrowing any money from a bank or another type of financial institution in the past 12 months (see year-specific definitions for details) (income, poorest 40%, % age 15+). [ts: data are available for multiple waves].","Demirguc-Kunt et al., 2015"
